rsid,metabolite_id,p,gene,study,biochemical_name
rs3830303,metabolite_100002397,1.815e-39,NIT2,Yin et. al. 2022,alpha-ketoglutaramate*
rs17843776,metabolite_445,1.524e-97,UMPS,Yin et. al. 2022,orotate
rs34740224,metabolite_445,1.464e-153,UMPS,Yin et. al. 2022,orotate
rs1992855,metabolite_340,1.419e-16,ALDH1L1,Yin et. al. 2022,glycine
rs146815563,metabolite_100001856,3.35e-11,unknown,Yin et. al. 2022,1-stearoyl-2-oleoyl-GPE (18:0/18:1)
rs183728597,metabolite_100000299,4.527e-16,GMPS,Yin et. al. 2022,xanthosine
rs7624867,metabolite_1442,4.846e-22,MCCC1,Yin et. al. 2022,beta-hydroxyisovalerate
rs939335,metabolite_100003271,8.206e-34,unknown,Yin et. al. 2022,beta-citrylglutamate
rs5855544,metabolite_100001073,3.151e-25,unknown,Yin et. al. 2022,androsterone sulfate
rs5855544,metabolite_100001287,1.525e-32,SLC51A,Yin et. al. 2022,epiandrosterone sulfate
rs5855544,metabolite_100001987,5.534e-12,SLC51A,Yin et. al. 2022,"5alpha-androstan-3beta,17beta-diol disulfate"
rs5855544,metabolite_100002008,1.072e-12,SLC51A,Yin et. al. 2022,"5alpha-androstan-3alpha,17alpha-diol monosulfate"
rs5855544,metabolite_100002018,9.522e-21,SLC51A,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"
rs5855544,metabolite_100002024,1.047e-23,SLC51A,Yin et. al. 2022,"5alpha-androstan-3beta,17beta-diol monosulfate (2)"
rs5855544,metabolite_100002029,1.82e-13,SLC51A,Yin et. al. 2022,"androstenediol (3beta,17beta) monosulfate (2)"
rs5855544,metabolite_100002126,1.346e-27,SLC51A,Yin et. al. 2022,16a-hydroxy DHEA 3-sulfate
rs5855544,metabolite_100002152,4.655e-24,unknown,Yin et. al. 2022,andro steroid monosulfate C19H28O6S (1)*
rs2342307,metabolite_100004112,4.737e-12,unknown,Yin et. al. 2022,3-methyl catechol sulfate (1)
rs10939650,metabolite_1134,7.515e-29,SLC2A9,Yin et. al. 2022,urate
rs7683000,metabolite_100001466,3.965e-46,unknown,Yin et. al. 2022,3-methylcytidine
rs73224656,metabolite_100001466,0.0,unknown,Yin et. al. 2022,3-methylcytidine
rs144197373,metabolite_100001466,6.214e-72,unknown,Yin et. al. 2022,3-methylcytidine
rs181558,metabolite_100020377,3.406e-135,GBA3,Yin et. al. 2022,ethyl beta-glucopyranoside
rs358226,metabolite_100005864,1.491e-147,GBA3,Yin et. al. 2022,methyl glucopyranoside (alpha + beta)
rs186284085,metabolite_100005864,9.409e-20,GBA3,Yin et. al. 2022,methyl glucopyranoside (alpha + beta)
rs186284085,metabolite_100020377,1.986e-16,GBA3,Yin et. al. 2022,ethyl beta-glucopyranoside
rs10155173,metabolite_100009272,1.059e-17,ATP10D,Yin et. al. 2022,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
rs4391005,metabolite_100009272,4.077e-14,ATP10D,Yin et. al. 2022,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
rs35818294,metabolite_100015625,1.843e-31,ATP10D,Yin et. al. 2022,glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*
rs35818294,metabolite_100015745,1.299e-36,ATP10D,Yin et. al. 2022,"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*"
rs13106975,metabolite_100009272,4.043e-71,ATP10D,Yin et. al. 2022,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
rs9790720,metabolite_100001882,2.931e-24,ATP10D,Yin et. al. 2022,glycosyl-N-stearoyl-sphingosine (d18:1/18:0)
rs4695332,metabolite_100009272,1.101e-12,unknown,Yin et. al. 2022,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
rs7694370,metabolite_100001987,1.389e-16,UGT2B15|UGT2B17,Yin et. al. 2022,"5alpha-androstan-3beta,17beta-diol disulfate"
rs13121671,metabolite_100001073,3.449e-100,UGT2B15|UGT2B17,Yin et. al. 2022,androsterone sulfate
rs13121671,metabolite_100002008,8.391e-100,UGT2B15|UGT2B17,Yin et. al. 2022,"5alpha-androstan-3alpha,17alpha-diol monosulfate"
rs13121671,metabolite_100002018,3.259e-11,UGT2B15|UGT2B17,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"
rs13121671,metabolite_100002027,1.446e-146,UGT2B15|UGT2B17,Yin et. al. 2022,"androstenediol (3alpha, 17alpha) monosulfate (3)"
rs13121671,metabolite_100020549,3.465e-74,UGT2B15|UGT2B17,Yin et. al. 2022,cholic acid glucuronide
rs13121671,metabolite_100020550,0.0,UGT2B15|UGT2B17,Yin et. al. 2022,deoxycholic acid glucuronide
rs4860987,metabolite_100002027,8.165e-35,UGT2B15|UGT2B17,Yin et. al. 2022,"androstenediol (3alpha, 17alpha) monosulfate (3)"
rs4860987,metabolite_100002761,8.368e-39,UGT2B15|UGT2B17,Yin et. al. 2022,androsterone glucuronide
rs4860987,metabolite_100005403,2.255e-17,UGT2B15|UGT2B17,Yin et. al. 2022,etiocholanolone glucuronide
rs34707604,metabolite_100001073,1.94e-31,UGT2B15|UGT2B17,Yin et. al. 2022,androsterone sulfate
rs34707604,metabolite_100001287,6.239e-38,UGT2B15|UGT2B17,Yin et. al. 2022,epiandrosterone sulfate
rs34707604,metabolite_100002008,1.414e-27,UGT2B15|UGT2B17,Yin et. al. 2022,"5alpha-androstan-3alpha,17alpha-diol monosulfate"
rs34707604,metabolite_100002018,4.005e-90,UGT2B15|UGT2B17,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"
rs34707604,metabolite_100002024,2.384e-36,UGT2B15|UGT2B17,Yin et. al. 2022,"5alpha-androstan-3beta,17beta-diol monosulfate (2)"
rs76594480,metabolite_100001073,9.85e-44,UGT2B15|UGT2B17,Yin et. al. 2022,androsterone sulfate
rs76594480,metabolite_100001287,1.484e-18,UGT2B15|UGT2B17,Yin et. al. 2022,epiandrosterone sulfate
rs76594480,metabolite_100002008,4.334e-17,UGT2B15|UGT2B17,Yin et. al. 2022,"5alpha-androstan-3alpha,17alpha-diol monosulfate"
rs76594480,metabolite_100002018,3.672e-64,UGT2B15|UGT2B17,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"
rs76594480,metabolite_100002027,4.481e-47,UGT2B15|UGT2B17,Yin et. al. 2022,"androstenediol (3alpha, 17alpha) monosulfate (3)"
rs62319290,metabolite_100002024,4.224e-19,UGT2B15|UGT2B17,Yin et. al. 2022,"5alpha-androstan-3beta,17beta-diol monosulfate (2)"
rs199547744,metabolite_100015971,3.326e-15,UGT2B15|UGT2B17,Yin et. al. 2022,cortolone glucuronide (1)
rs199547744,metabolite_100019988,1.939e-11,UGT2B15|UGT2B17,Yin et. al. 2022,glucuronide of C19H28O4 (2)*
rs138762595,metabolite_100015971,7.634e-19,UGT2B15|UGT2B17,Yin et. al. 2022,cortolone glucuronide (1)
rs138762595,metabolite_100019988,3.26e-13,UGT2B15|UGT2B17,Yin et. al. 2022,glucuronide of C19H28O4 (2)*
rs7696472,metabolite_1111,1.986e-26,unknown,Yin et. al. 2022,vanillylmandelate (VMA)
rs78685563,metabolite_1111,2.416e-12,unknown,Yin et. al. 2022,vanillylmandelate (VMA)
rs150935891,metabolite_100002761,1.505e-14,unknown,Yin et. al. 2022,androsterone glucuronide
rs77645768,metabolite_498,1.485e-11,unknown,Yin et. al. 2022,retinol (Vitamin A)
rs546498715,metabolite_100009232,6.888e-18,unknown,Yin et. al. 2022,thioproline
rs181948526,metabolite_241,7.709e-14,unknown,Yin et. al. 2022,phenylpyruvate
rs113759232,metabolite_100000463,2.07e-15,unknown,Yin et. al. 2022,indolelactate
rs113759232,metabolite_100004112,4.702e-13,unknown,Yin et. al. 2022,3-methyl catechol sulfate (1)
rs113759232,metabolite_565,2.817e-11,unknown,Yin et. al. 2022,tryptophan
rs112197434,metabolite_100003240,2.531e-12,NAAA,Yin et. al. 2022,N-stearoyltaurine
rs34615991,metabolite_100015832,1.757e-12,SCD5,Yin et. al. 2022,behenoylcarnitine (C22)*
rs141560958,metabolite_100015834,4.351e-45,SCD5,Yin et. al. 2022,lignoceroylcarnitine (C24)*
rs72658996,metabolite_100015846,6.827e-32,SCD5,Yin et. al. 2022,nervonoylcarnitine (C24:1)*
rs7665702,metabolite_100015832,7.533e-33,SCD5,Yin et. al. 2022,behenoylcarnitine (C22)*
rs1481013,metabolite_100021324,5.26e-12,ABCG2,Yin et. al. 2022,"3,5-dichloro-2,6-dihydroxybenzoic acid"
rs1481012,metabolite_100021324,3.171e-42,ABCG2,Yin et. al. 2022,"3,5-dichloro-2,6-dihydroxybenzoic acid"
rs141471965,metabolite_100006082,2.619e-26,ABCG2,Yin et. al. 2022,4-hydroxychlorothalonil
rs141471965,metabolite_100021707,1.316e-32,ABCG2,Yin et. al. 2022,"3-bromo-5-chloro-2,6-dihydroxybenzoic acid*"
rs116564150,metabolite_100000551,2.317e-11,PPM1K,Yin et. al. 2022,4-methyl-2-oxopentanoate
rs9995984,metabolite_100001597,2.026e-11,PPM1K,Yin et. al. 2022,tiglylcarnitine (C5:1-DC)
rs1899132,metabolite_100000036,2.694e-17,PPM1K,Yin et. al. 2022,3-methyl-2-oxovalerate
rs1899132,metabolite_100000551,4.366e-21,PPM1K,Yin et. al. 2022,4-methyl-2-oxopentanoate
rs1899132,metabolite_100000936,2.003e-25,PPM1K,Yin et. al. 2022,3-methyl-2-oxobutyrate
rs1899132,metabolite_566,9.863e-14,PPM1K,Yin et. al. 2022,valine
rs1808860,metabolite_376,3.288e-11,PPM1K,Yin et. al. 2022,isoleucine
rs5860125,metabolite_397,6.52e-14,PPM1K,Yin et. al. 2022,leucine
rs77326813,metabolite_338,7.963e-15,ADH1A|ADH1B|ADH1C|ADH4|ADH5|ADH6|ADH7,Yin et. al. 2022,gluconate
rs138883026,metabolite_338,2.823e-27,ADH1A|ADH1B|ADH1C|ADH4|ADH5|ADH6|ADH7,Yin et. al. 2022,gluconate
rs1709422,metabolite_100006435,4.637e-19,unknown,Yin et. al. 2022,N-acetylglucosamine/N-acetylgalactosamine
rs67481496,metabolite_100002259,6.964e-18,ETFDH,Yin et. al. 2022,cis-4-decenoylcarnitine (C10:1)
rs17843966,metabolite_100016069,2.774e-14,ETFDH,Yin et. al. 2022,5-dodecenoylcarnitine (C12:1)
rs17843929,metabolite_100001247,6.515e-37,ETFDH,Yin et. al. 2022,octanoylcarnitine (C8)
rs17843929,metabolite_100001251,5.436e-35,ETFDH,Yin et. al. 2022,decanoylcarnitine (C10)
rs17843929,metabolite_100001392,1.412e-18,ETFDH,Yin et. al. 2022,laurylcarnitine (C12)
rs17843929,metabolite_100006620,3.994e-28,ETFDH,Yin et. al. 2022,nonanoylcarnitine (C9)
rs561604250,metabolite_1215,1.162e-14,AGA,Yin et. al. 2022,N-acetylglucosaminylasparagine
rs76491548,metabolite_234,2.131e-12,AGA,Yin et. al. 2022,aspartate
rs11131799,metabolite_1215,9.911e-24,AGA,Yin et. al. 2022,N-acetylglucosaminylasparagine
rs11131799,metabolite_234,3.957e-11,AGA,Yin et. al. 2022,aspartate
rs539815185,metabolite_1215,3.012e-14,AGA,Yin et. al. 2022,N-acetylglucosaminylasparagine
rs11133665,metabolite_100001051,1.786e-17,SLC6A19,Yin et. al. 2022,1-methylhistidine
rs11133665,metabolite_100004635,1.106e-35,SLC6A19,Yin et. al. 2022,methionine sulfone
rs142979576,metabolite_100004635,4.985e-11,unknown,Yin et. al. 2022,methionine sulfone
rs835155,metabolite_1124,2.107e-11,unknown,Yin et. al. 2022,citrate
rs4518366,metabolite_1114,2.713e-17,AGXT2,Yin et. al. 2022,3-aminoisobutyrate
rs1049416985,metabolite_1114,3.938e-73,AGXT2,Yin et. al. 2022,3-aminoisobutyrate
rs344514,metabolite_1114,5.858e-18,AGXT2,Yin et. al. 2022,3-aminoisobutyrate
rs37369,metabolite_100001810,2.218e-25,AGXT2,Yin et. al. 2022,dimethylarginine (SDMA + ADMA)
rs37369,metabolite_1114,2.648e-299,AGXT2,Yin et. al. 2022,3-aminoisobutyrate
rs40199,metabolite_100000961,2.286e-11,AGXT2,Yin et. al. 2022,homoarginine
rs142596002,metabolite_1114,1.169e-17,AGXT2,Yin et. al. 2022,3-aminoisobutyrate
rs13172279,metabolite_1114,1.672e-68,AGXT2,Yin et. al. 2022,3-aminoisobutyrate
rs141884785,metabolite_100002009,1.039e-11,UGT3A1,Yin et. al. 2022,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"
rs12659258,metabolite_100021726,2.159e-76,UGT3A1,Yin et. al. 2022,GlcNAc sulfate conjugate of C21H34O2 steroid**
rs6873506,metabolite_100002009,4.386e-116,UGT3A1,Yin et. al. 2022,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"
rs6873506,metabolite_100002015,1.372e-51,UGT3A1,Yin et. al. 2022,5alpha-pregnan-diol disulfate
rs6873506,metabolite_100002067,7.707e-45,UGT3A1,Yin et. al. 2022,pregnenediol sulfate (C21H34O5S)*
rs6873506,metabolite_100002129,1.27e-16,UGT3A1,Yin et. al. 2022,pregnenolone sulfate
rs6873506,metabolite_100003470,7.838e-23,UGT3A1,Yin et. al. 2022,pregnanediol-3-glucuronide
rs6895188,metabolite_100001988,1.003e-49,UGT3A1,Yin et. al. 2022,"5alpha-pregnan-3beta,20alpha-diol disulfate"
rs6895188,metabolite_100001993,5.586e-31,UGT3A1,Yin et. al. 2022,pregnenediol disulfate (C21H34O8S2)*
rs113590482,metabolite_100002014,2.718e-43,UGT3A1,Yin et. al. 2022,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"
rs113590482,metabolite_100006173,2.588e-27,UGT3A1,Yin et. al. 2022,pregnanolone/allopregnanolone sulfate
rs16902835,metabolite_407,3.518e-11,NADK2,Yin et. al. 2022,lysine
rs111310950,metabolite_533,1.485e-12,unknown,Yin et. al. 2022,urea
rs199655211,metabolite_100002528,1.315e-35,unknown,Yin et. al. 2022,sulfate*
rs59984527,metabolite_806,3.385e-55,BHMT|DMGDH,Yin et. al. 2022,dimethylglycine
rs2431951,metabolite_799,2.142e-45,BHMT|DMGDH,Yin et. al. 2022,betaine
rs248381,metabolite_806,9.183e-36,BHMT|DMGDH,Yin et. al. 2022,dimethylglycine
rs6453425,metabolite_799,8.733e-19,BHMT|DMGDH,Yin et. al. 2022,betaine
rs397798543,metabolite_100001956,6.801e-12,BHMT|DMGDH,Yin et. al. 2022,N-methylproline
rs10679800,metabolite_806,1.027e-160,BHMT|DMGDH,Yin et. al. 2022,dimethylglycine
rs183561004,metabolite_806,2.519e-99,BHMT|DMGDH,Yin et. al. 2022,dimethylglycine
rs10038137,metabolite_358,6.579e-12,CDO1,Yin et. al. 2022,hypotaurine
rs79449010,metabolite_100004499,2.227e-72,ALDH7A1,Yin et. al. 2022,6-oxopiperidine-2-carboxylate
rs7737937,metabolite_100001743,4.807e-15,SLC22A5,Yin et. al. 2022,tryptophan betaine
rs55737227,metabolite_100015833,2.382e-15,SLC22A5,Yin et. al. 2022,arachidoylcarnitine (C20)*
rs55737227,metabolite_100015839,3.092e-19,SLC22A5,Yin et. al. 2022,dihomo-linoleoylcarnitine (C20:2)*
rs273898,metabolite_100001054,6.294e-16,SLC22A5,Yin et. al. 2022,butyrylcarnitine (C4)
rs273898,metabolite_100015831,5.176e-11,SLC22A5,Yin et. al. 2022,linolenoylcarnitine (C18:3)*
rs273898,metabolite_100015837,2.355e-43,SLC22A5,Yin et. al. 2022,arachidonoylcarnitine (C20:4)
rs441969,metabolite_100001550,4.794e-23,SLC22A5,Yin et. al. 2022,homostachydrine*
rs57262206,metabolite_100015962,8.831e-19,SLC22A5,Yin et. al. 2022,"N,N,N-trimethyl-5-aminovalerate"
rs581968,metabolite_100000802,1.014e-15,SLC22A5,Yin et. al. 2022,acetylcarnitine (C2)
rs581968,metabolite_100001597,4.549e-11,SLC22A5,Yin et. al. 2022,tiglylcarnitine (C5:1-DC)
rs34965096,metabolite_100000776,3.359e-16,SLC22A5,Yin et. al. 2022,palmitoylcarnitine (C16)
rs34965096,metabolite_100001391,5.306e-17,SLC22A5,Yin et. al. 2022,stearoylcarnitine (C18)
rs34965096,metabolite_100001393,2.838e-56,SLC22A5,Yin et. al. 2022,isovalerylcarnitine (C5)
rs34965096,metabolite_100001501,7.025e-12,SLC22A5,Yin et. al. 2022,oleoylcarnitine (C18:1)
rs34965096,metabolite_100003151,2.203e-14,SLC22A5,Yin et. al. 2022,linoleoylcarnitine (C18:2)*
rs34965096,metabolite_100015834,3.994e-14,SLC22A5,Yin et. al. 2022,lignoceroylcarnitine (C24)*
rs34965096,metabolite_100015835,1.741e-20,SLC22A5,Yin et. al. 2022,cerotoylcarnitine (C26)*
rs34965096,metabolite_100015836,4.214e-17,SLC22A5,Yin et. al. 2022,ximenoylcarnitine (C26:1)*
rs34965096,metabolite_100015845,7.144e-11,SLC22A5,Yin et. al. 2022,docosahexaenoylcarnitine (C22:6)*
rs34965096,metabolite_100015846,6.968e-15,SLC22A5,Yin et. al. 2022,nervonoylcarnitine (C24:1)*
rs34965096,metabolite_100015851,6.193e-22,SLC22A5,Yin et. al. 2022,docosapentaenoylcarnitine (C22:5n3)*
rs143811719,metabolite_100015840,2.281e-36,SLC22A5,Yin et. al. 2022,dihomo-linolenoylcarnitine (C20:3n3 or 6)*
rs274555,metabolite_100001162,1.491e-19,SLC22A5,Yin et. al. 2022,propionylcarnitine (C3)
rs2073643,metabolite_100000007,2.445e-13,SLC22A5,Yin et. al. 2022,carnitine
rs274552,metabolite_100000007,8.445e-20,SLC22A5,Yin et. al. 2022,carnitine
rs4705857,metabolite_100015962,8.072e-45,SLC22A5,Yin et. al. 2022,"N,N,N-trimethyl-5-aminovalerate"
rs6866614,metabolite_100002154,2.823e-12,SLC22A5|SLC22A4,Yin et. al. 2022,ergothioneine
rs10477741,metabolite_100000781,1.184e-14,SLC22A5,Yin et. al. 2022,hexanoylcarnitine (C6)
rs56382048,metabolite_1256,4.145e-13,unknown,Yin et. al. 2022,choline
rs200164783,metabolite_1256,2.316e-33,unknown,Yin et. al. 2022,choline
rs77454515,metabolite_1052,3.789e-18,SLC23A1,Yin et. al. 2022,glycerate
rs62385280,metabolite_100000840,3.539e-13,SLC23A1,Yin et. al. 2022,tartronate (hydroxymalonate)
rs62385280,metabolite_100000841,7.213e-15,SLC23A1,Yin et. al. 2022,oxalate (ethanedioate)
rs33972313,metabolite_100020409,4.513e-14,SLC23A1,Yin et. al. 2022,ascorbic acid 3-sulfate*
rs34225933,metabolite_100002528,3.84e-13,SLC34A1,Yin et. al. 2022,sulfate*
rs6597031,metabolite_100021136,2.749e-32,ECI2,Yin et. al. 2022,3-decenoylcarnitine
rs649725,metabolite_100021502,5.047e-17,ECI2,Yin et. al. 2022,(2 or 3)-decenoate (10:1n7 or n8)
rs853358,metabolite_100000007,4.301e-13,unknown,Yin et. al. 2022,carnitine
rs853358,metabolite_100015962,1.246e-18,unknown,Yin et. al. 2022,"N,N,N-trimethyl-5-aminovalerate"
rs9370881,metabolite_100000299,4.92e-11,GMPR,Yin et. al. 2022,xanthosine
rs6459467,metabolite_100000299,1.029e-18,GMPR,Yin et. al. 2022,xanthosine
rs71535075,metabolite_171,7.491e-13,GMPR,Yin et. al. 2022,hypoxanthine
rs12212049,metabolite_100001256,3.185e-22,unknown,Yin et. al. 2022,N-acetylphenylalanine
rs12212049,metabolite_100001293,2.987e-11,unknown,Yin et. al. 2022,N-acetylhistidine
rs12212049,metabolite_100006378,3.352e-21,unknown,Yin et. al. 2022,N-acetylkynurenine (2)
rs35720558,metabolite_100001994,6.143e-23,unknown,Yin et. al. 2022,"androstenediol (3beta,17beta) disulfate (2)"
rs13197601,metabolite_100001992,8.855e-12,unknown,Yin et. al. 2022,"androstenediol (3beta,17beta) disulfate (1)"
rs13197601,metabolite_100002029,3.349e-14,unknown,Yin et. al. 2022,"androstenediol (3beta,17beta) monosulfate (2)"
rs13197601,metabolite_100021711,5.39e-19,unknown,Yin et. al. 2022,decadienedioic acid (C10:2-DC)**
rs1165209,metabolite_100001254,9.294e-61,unknown,Yin et. al. 2022,N-acetyltryptophan
rs2817188,metabolite_100001999,7.217e-31,unknown,Yin et. al. 2022,21-hydroxypregnenolone disulfate
rs2817188,metabolite_100009045,1.155e-14,unknown,Yin et. al. 2022,phenylacetylglutamate
rs1165195,metabolite_100001733,2.967e-69,unknown,Yin et. al. 2022,hexanoylglutamine
rs1165154,metabolite_100006627,2.256e-16,unknown,Yin et. al. 2022,suberoylcarnitine (C8-DC)
rs9461218,metabolite_100001868,1.379e-11,unknown,Yin et. al. 2022,4-allylphenol sulfate
rs9467619,metabolite_100020414,7.5e-16,unknown,Yin et. al. 2022,6-bromotryptophan
rs13200784,metabolite_100001756,4.139e-20,unknown,Yin et. al. 2022,4-ethylphenylsulfate
rs9366633,metabolite_100002126,5.121e-11,unknown,Yin et. al. 2022,16a-hydroxy DHEA 3-sulfate
rs9366633,metabolite_100002152,5.094e-18,unknown,Yin et. al. 2022,andro steroid monosulfate C19H28O6S (1)*
rs145294790,metabolite_100001073,9.487e-12,unknown,Yin et. al. 2022,androsterone sulfate
rs566530,metabolite_100000015,1.586e-14,unknown,Yin et. al. 2022,xanthurenate
rs1165170,metabolite_1342,6.787e-14,unknown,Yin et. al. 2022,3-methoxytyrosine
rs140949683,metabolite_327,9.768e-12,unknown,Yin et. al. 2022,flavin adenine dinucleotide (FAD)
rs2269423,metabolite_100000657,9.442e-14,AGPAT1,Yin et. al. 2022,"1,2-dipalmitoyl-GPC (16:0/16:0)"
rs35558895,metabolite_799,2.05e-16,GNMT,Yin et. al. 2022,betaine
rs202042577,metabolite_100008916,1.41e-11,unknown,Yin et. al. 2022,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
rs202042577,metabolite_100009130,3.529e-13,unknown,Yin et. al. 2022,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*
rs2608666,metabolite_100001397,1.009e-14,unknown,Yin et. al. 2022,"1,3,7-trimethylurate"
rs7775554,metabolite_100004046,9.725e-24,PM20D2,Yin et. al. 2022,N-acetylcarnosine
rs186369071,metabolite_100004046,2.72e-15,PM20D2,Yin et. al. 2022,N-acetylcarnosine
rs12210538,metabolite_100000776,8.799e-13,SLC22A16,Yin et. al. 2022,palmitoylcarnitine (C16)
rs12210538,metabolite_100001501,7.898e-21,SLC22A16,Yin et. al. 2022,oleoylcarnitine (C18:1)
rs12210538,metabolite_100002154,1.404e-15,SLC22A16,Yin et. al. 2022,ergothioneine
rs12210538,metabolite_100015837,9.257e-59,SLC22A16,Yin et. al. 2022,arachidonoylcarnitine (C20:4)
rs12210538,metabolite_100015838,1.642e-14,SLC22A16,Yin et. al. 2022,eicosenoylcarnitine (C20:1)*
rs12210538,metabolite_100015839,3.019e-34,SLC22A16,Yin et. al. 2022,dihomo-linoleoylcarnitine (C20:2)*
rs12210538,metabolite_100015840,1.153e-43,SLC22A16,Yin et. al. 2022,dihomo-linolenoylcarnitine (C20:3n3 or 6)*
rs12210538,metabolite_100015851,1.72e-34,SLC22A16,Yin et. al. 2022,docosapentaenoylcarnitine (C22:5n3)*
rs72939920,metabolite_100003151,1.373e-32,SLC22A16,Yin et. al. 2022,linoleoylcarnitine (C18:2)*
rs72939920,metabolite_100015831,1.558e-14,SLC22A16,Yin et. al. 2022,linolenoylcarnitine (C18:3)*
rs72939920,metabolite_100015835,3.493e-15,SLC22A16,Yin et. al. 2022,cerotoylcarnitine (C26)*
rs72939920,metabolite_100015836,5.811e-12,SLC22A16,Yin et. al. 2022,ximenoylcarnitine (C26:1)*
rs541492469,metabolite_815,2.588e-11,SLC16A10,Yin et. al. 2022,tyrosine
rs79919786,metabolite_2054,3.337e-11,ECHDC1,Yin et. al. 2022,ethylmalonate
rs9402288,metabolite_100002017,1.253e-18,unknown,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol disulfate"
rs9402288,metabolite_100002026,4.654e-11,unknown,Yin et. al. 2022,"androstenediol (3alpha, 17alpha) monosulfate (2)"
rs1360756,metabolite_100006005,1.115e-18,unknown,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol monosulfate (2)"
rs10223601,metabolite_100002769,4.485e-16,ARG1,Yin et. al. 2022,argininate*
rs397693024,metabolite_100002784,3.832e-12,ARG1,Yin et. al. 2022,2-oxoarginine*
rs2608917,metabolite_100000961,3.647e-11,ARG1,Yin et. al. 2022,homoarginine
rs2781668,metabolite_231,5.486e-17,ARG1,Yin et. al. 2022,arginine
rs2246012,metabolite_444,4.932e-11,ARG1,Yin et. al. 2022,ornithine
rs4039600,metabolite_880,1.378e-11,PCMT1,Yin et. al. 2022,adenine
rs9505982,metabolite_197,1.104e-19,PCMT1,Yin et. al. 2022,S-adenosylhomocysteine (SAH)
rs869109015,metabolite_212,2.709e-18,PCMT1,Yin et. al. 2022,5-methylthioadenosine (MTA)
rs998074,metabolite_100004541,1.565e-13,unknown,Yin et. al. 2022,acisoga
rs12208357,metabolite_100001055,1.631e-68,SLC22A1,Yin et. al. 2022,isobutyrylcarnitine (C4)
rs12208357,metabolite_100006627,1.06e-12,SLC22A1,Yin et. al. 2022,suberoylcarnitine (C8-DC)
rs112201728,metabolite_100005850,9.593e-16,SLC22A1,Yin et. al. 2022,3-methylglutarylcarnitine (2)
rs112201728,metabolite_100009407,2.299e-15,unknown,Yin et. al. 2022,pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC)
rs594709,metabolite_100001162,8.047e-15,SLC22A1,Yin et. al. 2022,propionylcarnitine (C3)
rs34130495,metabolite_100001055,7.904e-12,SLC22A1,Yin et. al. 2022,isobutyrylcarnitine (C4)
